R0, Hog1_p+_Hot1_[(Hog1Site)]
R1, PPT_p-_Hog1_[(Pbs2Site)]
R2, PPT_p-_Hot1_[(Hog1Site)]
R3, PPT_p-_Pbs2_[(Ssk2Site)]
R4, PPT_p-_Ssk1_[(D544)]
R5, Pbs2_p+_Hog1_[(Pbs2Site)]
R6, Sln1_[(Site)]_pt_Ypd1_[(H64)]
R7, Sln1_ap+_Sln1_[(Site)]
R8, Ssk1_[RR]_ppi+_Ssk2_[ssk1]
R9, Ssk1_[RR]_ppi-_Ssk2_[ssk1]
R10, Ssk2_p+_Pbs2_[(Ssk2Site)]
R11, Ypd1_[(H64)]_pt_Ssk1_[(D544)]
S0, Hog1_[(Pbs2Site)]-{0}
S1, Hog1_[(Pbs2Site)]-{p}
S2, Hot1_[(Hog1Site)]-{0}
S3, Hot1_[(Hog1Site)]-{p}
S4, PPT
S5, Pbs2_[(Ssk2Site)]-{0}
S6, Pbs2_[(Ssk2Site)]-{p}
S7, Sln1_[(Site)]-{0}
S8, Sln1_[(Site)]-{p}
S9, Ssk1_[(D544)]-{0}
S10, Ssk1_[(D544)]-{p}
S11, Ssk1_[RR]--0
S12, Ssk1_[RR]--Ssk2_[ssk1]
S13, Ssk2_[ssk1]--0
S14, Ypd1_[(H64)]-{0}
S15, Ypd1_[(H64)]-{p}
S16, [Turgor]
